SERVIÇO;OPERADORA;ESTADO;TEMA;ALTERNATIVAS;CALCULO;2015;2016
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Nota 4;Percentual;3,394000;4,498270
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Nota 5;Percentual;11,749000;10,034602
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Nota 6;Percentual;11,227000;5,882353
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Nota 7;Percentual;11,488000;14,532872
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Nota 8;Percentual;22,193000;22,491349
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;Nota 9;Percentual;11,488000;8,650519
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;10.Excelente;Percentual;20,366000;20,761246
SCM;Algar;MG;A operadora cumpre o que promete e divulga em sua publicidade;99. NS/ NR;Percentual;0,783000;0,346021
SCM;Algar;MG;Conseguir acessar sempre que preciso;Média;Média Ponderada;7,420366;7,093426
SCM;Algar;MG;Conseguir acessar sempre que preciso;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Conseguir acessar sempre que preciso;0.Péssimo;Percentual;0,783000;3,460208
SCM;Algar;MG;Conseguir acessar sempre que preciso;Nota 1;Percentual;1,305000;1,384083
SCM;Algar;MG;Conseguir acessar sempre que preciso;Nota 2;Percentual;2,089000;3,114187
SCM;Algar;MG;Conseguir acessar sempre que preciso;Nota 3;Percentual;1,828000;1,384083
SCM;Algar;MG;Conseguir acessar sempre que preciso;Nota 4;Percentual;3,655000;4,844291
SCM;Algar;MG;Conseguir acessar sempre que preciso;Nota 5;Percentual;9,922000;11,072664
SCM;Algar;MG;Conseguir acessar sempre que preciso;Nota 6;Percentual;9,399000;6,920415
SCM;Algar;MG;Conseguir acessar sempre que preciso;Nota 7;Percentual;14,099000;13,148789
SCM;Algar;MG;Conseguir acessar sempre que preciso;Nota 8;Percentual;20,104000;22,491349
SCM;Algar;MG;Conseguir acessar sempre que preciso;Nota 9;Percentual;17,232000;12,456747
SCM;Algar;MG;Conseguir acessar sempre que preciso;10.Excelente;Percentual;19,582000;19,723183
SCM;Algar;MG;Conseguir acessar sempre que preciso;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Algar;MG;Indicador de Funcionamento;Funcionamento;Média Indicadores;7,030896;6,754902
SCM;Algar;MG;Indicador de Funcionamento;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Média;Média Ponderada;6,812010;6,545139
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;0.Péssimo;Percentual;2,611000;5,190311
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Nota 1;Percentual;1,044000;1,384083
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Nota 2;Percentual;4,178000;2,422145
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Nota 3;Percentual;4,961000;3,806228
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Nota 4;Percentual;3,916000;4,844291
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Nota 5;Percentual;10,966000;14,186851
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Nota 6;Percentual;9,661000;10,380623
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Nota 7;Percentual;14,360000;13,148789
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Nota 8;Percentual;21,149000;21,453287
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;Nota 9;Percentual;12,794000;10,034602
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;10.Excelente;Percentual;14,360000;12,802768
SCM;Algar;MG;Capacidade de manter a conexão sem quedas;99. NS/ NR;Percentual;0,000000;0,346021
SCM;Algar;MG;Velocidade de navegação;Média;Média Ponderada;6,861257;6,614583
SCM;Algar;MG;Velocidade de navegação;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Velocidade de navegação;0.Péssimo;Percentual;2,611000;4,844291
SCM;Algar;MG;Velocidade de navegação;Nota 1;Percentual;0,783000;1,038062
SCM;Algar;MG;Velocidade de navegação;Nota 2;Percentual;3,133000;1,730104
SCM;Algar;MG;Velocidade de navegação;Nota 3;Percentual;2,611000;3,806228
SCM;Algar;MG;Velocidade de navegação;Nota 4;Percentual;4,700000;6,228374
SCM;Algar;MG;Velocidade de navegação;Nota 5;Percentual;12,272000;13,148789
SCM;Algar;MG;Velocidade de navegação;Nota 6;Percentual;11,749000;10,380623
SCM;Algar;MG;Velocidade de navegação;Nota 7;Percentual;15,144000;16,955017
SCM;Algar;MG;Velocidade de navegação;Nota 8;Percentual;22,193000;16,955017
SCM;Algar;MG;Velocidade de navegação;Nota 9;Percentual;10,183000;9,688581
SCM;Algar;MG;Velocidade de navegação;10.Excelente;Percentual;14,360000;14,878893
SCM;Algar;MG;Velocidade de navegação;99. NS/ NR;Percentual;0,261000;0,346021
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Média;Média Ponderada;7,593668;7,262238
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;0.Péssimo;Percentual;1,044000;3,806228
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Nota 1;Percentual;0,522000;1,730104
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Nota 2;Percentual;1,305000;2,076125
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Nota 3;Percentual;2,611000;2,422145
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Nota 4;Percentual;1,828000;2,768166
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Nota 5;Percentual;11,488000;13,840830
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Nota 6;Percentual;8,355000;8,304498
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Nota 7;Percentual;13,316000;10,380623
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Nota 8;Percentual;20,888000;11,418685
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;Nota 9;Percentual;10,705000;10,726644
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;10.Excelente;Percentual;26,893000;31,487889
SCM;Algar;MG;Cobrança dos valores na conta de acordo com o contratado;99. NS/ NR;Percentual;1,044000;1,038062
SCM;Algar;MG;Indicador de Cobrança;Cobrança;Média Indicadores;7,605541;7,286458
SCM;Algar;MG;Indicador de Cobrança;;Amostra não ponderada;379,000000;288,000000
SCM;Algar;MG;Clareza das informações na conta;Média;Média Ponderada;7,615385;7,318182
SCM;Algar;MG;Clareza das informações na conta;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Clareza das informações na conta;0.Péssimo;Percentual;2,350000;3,806228
SCM;Algar;MG;Clareza das informações na conta;Nota 1;Percentual;1,044000;1,384083
SCM;Algar;MG;Clareza das informações na conta;Nota 2;Percentual;0,783000;1,730104
SCM;Algar;MG;Clareza das informações na conta;Nota 3;Percentual;2,089000;3,114187
SCM;Algar;MG;Clareza das informações na conta;Nota 4;Percentual;4,178000;4,498270
SCM;Algar;MG;Clareza das informações na conta;Nota 5;Percentual;8,094000;8,996540
SCM;Algar;MG;Clareza das informações na conta;Nota 6;Percentual;6,266000;5,882353
SCM;Algar;MG;Clareza das informações na conta;Nota 7;Percentual;11,488000;13,148789
SCM;Algar;MG;Clareza das informações na conta;Nota 8;Percentual;22,193000;17,301038
SCM;Algar;MG;Clareza das informações na conta;Nota 9;Percentual;11,488000;9,688581
SCM;Algar;MG;Clareza das informações na conta;10.Excelente;Percentual;28,460000;29,411765
SCM;Algar;MG;Clareza das informações na conta;99. NS/ NR;Percentual;1,567000;1,038062
SCM;Algar;MG;Contato sobre cobrança;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Contato sobre cobrança;1.Sim;Percentual;29,243000;32,871972
SCM;Algar;MG;Contato sobre cobrança;2.Não;Percentual;70,757000;67,128028
SCM;Algar;MG;Resolução do problema de cobrança;Média;Média Ponderada;6,437500;6,442105
SCM;Algar;MG;Resolução do problema de cobrança;;Amostra não ponderada;112,000000;95,000000
SCM;Algar;MG;Resolução do problema de cobrança;0.Péssimo;Percentual;7,143000;6,315789
SCM;Algar;MG;Resolução do problema de cobrança;Nota 1;Percentual;1,786000;2,105263
SCM;Algar;MG;Resolução do problema de cobrança;Nota 2;Percentual;4,464000;1,052632
SCM;Algar;MG;Resolução do problema de cobrança;Nota 3;Percentual;6,250000;5,263158
SCM;Algar;MG;Resolução do problema de cobrança;Nota 4;Percentual;4,464000;7,368421
SCM;Algar;MG;Resolução do problema de cobrança;Nota 5;Percentual;9,821000;15,789474
SCM;Algar;MG;Resolução do problema de cobrança;Nota 6;Percentual;7,143000;9,473684
SCM;Algar;MG;Resolução do problema de cobrança;Nota 7;Percentual;10,714000;4,210526
SCM;Algar;MG;Resolução do problema de cobrança;Nota 8;Percentual;19,643000;23,157895
SCM;Algar;MG;Resolução do problema de cobrança;Nota 9;Percentual;13,393000;8,421053
SCM;Algar;MG;Resolução do problema de cobrança;10.Excelente;Percentual;15,179000;16,842105
SCM;Algar;MG;Resolução do problema de cobrança;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Algar;MG;Indicador de Capacidade de Resolução;Capacidade de resolução;Média Indicadores;6,705584;6,385135
SCM;Algar;MG;Indicador de Capacidade de Resolução;;Amostra não ponderada;197,000000;148,000000
SCM;Algar;MG;Contato para alterar plano ou condição comercial;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Contato para alterar plano ou condição comercial;1.Sim;Percentual;40,209000;33,910035
SCM;Algar;MG;Contato para alterar plano ou condição comercial;2.Não;Percentual;59,791000;66,089965
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Média;Média Ponderada;6,888889;6,040816
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;;Amostra não ponderada;154,000000;98,000000
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;0.Péssimo;Percentual;9,091000;13,265306
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Nota 1;Percentual;1,948000;4,081633
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Nota 2;Percentual;3,247000;2,040816
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Nota 3;Percentual;1,299000;2,040816
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Nota 4;Percentual;3,247000;5,102041
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Nota 5;Percentual;6,494000;13,265306
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Nota 6;Percentual;9,740000;7,142857
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Nota 7;Percentual;7,143000;14,285714
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Nota 8;Percentual;19,481000;10,204082
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;Nota 9;Percentual;14,286000;7,142857
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;10.Excelente;Percentual;23,377000;21,428571
SCM;Algar;MG;Resolução da alteração de plano ou condição comercial;99. NS/ NR;Percentual;0,649000;0,000000
SCM;Algar;MG;Contato sobre instalação;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Contato sobre instalação;1.Sim;Percentual;15,666000;17,301038
SCM;Algar;MG;Contato sobre instalação;2.Não;Percentual;84,334000;82,698962
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Média;Média Ponderada;8,616667;7,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;;Amostra não ponderada;60,000000;50,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;0.Péssimo;Percentual;1,667000;2,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 1;Percentual;0,000000;8,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 2;Percentual;0,000000;2,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 3;Percentual;0,000000;0,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 4;Percentual;3,333000;2,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 5;Percentual;3,333000;18,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 6;Percentual;5,000000;10,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 7;Percentual;6,667000;4,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 8;Percentual;15,000000;14,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;Nota 9;Percentual;15,000000;10,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;10.Excelente;Percentual;50,000000;30,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de instalação e a visita do técnico;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Algar;MG;Indicador de Reparo e Instalação;Reparo e Instalação;Média Indicadores;7,804396;7,254483
SCM;Algar;MG;Indicador de Reparo e Instalação;;Amostra não ponderada;182,000000;145,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Média;Média Ponderada;8,350000;7,340000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;;Amostra não ponderada;60,000000;50,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;0.Péssimo;Percentual;3,333000;2,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Nota 1;Percentual;1,667000;8,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Nota 2;Percentual;1,667000;6,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Nota 3;Percentual;1,667000;0,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Nota 4;Percentual;0,000000;0,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Nota 5;Percentual;8,333000;12,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Nota 6;Percentual;1,667000;6,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Nota 7;Percentual;1,667000;2,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Nota 8;Percentual;13,333000;10,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;Nota 9;Percentual;11,667000;16,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;10.Excelente;Percentual;55,000000;38,000000
SCM;Algar;MG;Cumprimento do prazo para instalação acordado;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Média;Média Ponderada;9,033333;7,520000
SCM;Algar;MG;Qualidade da instalação do serviço;;Amostra não ponderada;60,000000;50,000000
SCM;Algar;MG;Qualidade da instalação do serviço;0.Péssimo;Percentual;3,333000;0,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Nota 1;Percentual;0,000000;8,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Nota 2;Percentual;0,000000;2,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Nota 3;Percentual;0,000000;4,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Nota 4;Percentual;0,000000;0,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Nota 5;Percentual;1,667000;10,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Nota 6;Percentual;3,333000;4,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Nota 7;Percentual;3,333000;6,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Nota 8;Percentual;6,667000;16,000000
SCM;Algar;MG;Qualidade da instalação do serviço;Nota 9;Percentual;18,333000;16,000000
SCM;Algar;MG;Qualidade da instalação do serviço;10.Excelente;Percentual;63,333000;34,000000
SCM;Algar;MG;Qualidade da instalação do serviço;99. NS/ NR;Percentual;0,000000;0,000000
SCM;Algar;MG;Contato sobre reparo;;Amostra não ponderada;383,000000;289,000000
SCM;Algar;MG;Contato sobre reparo;1.Sim;Percentual;36,031000;42,214533
SCM;Algar;MG;Contato sobre reparo;2.Não;Percentual;63,969000;57,785467
SCM;Algar;MG;Tempo de espera entre a solicitação de reparo e a visita do técnico;Média;Média Ponderada;7,352941;6,891667
SCM;Algar;MG;Tempo de espera entre a solicitação de reparo e a visita do técnico;;Amostra não ponderada;138,000000;122,000000
SCM;Algar;MG;Tempo de espera entre a solicitação de reparo e a visita do técnico;0.Péssimo;Percentual;5,797000;4,918033
SCM;Algar;MG;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 1;Percentual;2,174000;3,278689
SCM;Algar;MG;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 2;Percentual;1,449000;3,278689
SCM;Algar;MG;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 3;Percentual;0,725000;1,639344
SCM;Algar;MG;Tempo de espera entre a solicitação de reparo e a visita do técnico;Nota 4;Percentual;1,449000;3,278689
